Name,Size,rhymes,discarded,Epochs,Accuracy,Perfect,Assonant,Non_rhymes	
baseline,328,4123,0,0,7.614,4.3035,6.6208,89.0756
epoch10,51,292,664,10,25.1712,20.89,8.5616,70.5479
epoch20,52,322,619,20,31.9876,27.3292,9.3168,63.354
epoch30,52,328,585,30,35.2134,30.7927,8.8415,60.3659
epoch40,52,314,612,40,36.6242,33.121,7.0064,59.8726
epoch50,52,326,567,50,41.2577,36.8098,8.8957,54.2945
epoch60,52,314,585,60,39.3312,35.9873,6.6879,57.3248
epoch70,52,310,590,70,44.0323,39.6774,8.7097,51.6129
epoch80,52,310,565,80,44.5161,40.9677,7.0968,51.9355
epoch90,52,306,587,90,46.8954,42.1569,9.4771,48.366
epoch100,52,302,574,100,47.5166,43.0464,8.9404,48.0132
